,rar,alpha,gamma,epochs,ticker,perf
0,0.1,0.1,0.1,20,AMZN,0.9967950497192546
1,0.1,0.1,0.1,20,DJIA,1.0009111675027842
2,0.1,0.1,0.1,20,QQQ,1.0009028569407163
3,0.1,0.1,0.1,20,SPY,1.001318394508104
4,0.1,0.1,0.1,20,VGT,0.9999867504813649
5,0.1,0.1,0.1,20,XLI,1.0002349285968288
6,0.1,0.1,0.1,40,AAPL,0.9979658469958248
7,0.1,0.1,0.1,40,AMZN,0.9976670783412482
8,0.1,0.1,0.1,40,DJIA,1.000791627884563
9,0.1,0.1,0.1,40,QQQ,1.0001828247498348
10,0.1,0.1,0.1,40,SPY,0.9998160262985988
11,0.1,0.1,0.1,40,VGT,0.9978287024025451
12,0.1,0.1,0.1,40,XLI,1.00116891575736
13,0.1,0.1,0.1,60,AAPL,1.0019671911414767
14,0.1,0.1,0.1,60,AMZN,0.9960229688952266
15,0.1,0.1,0.1,60,DJIA,1.001551217857665
16,0.1,0.1,0.1,60,QQQ,0.9991172712037529
17,0.1,0.1,0.1,60,SPY,1.0005964182368954
18,0.1,0.1,0.1,60,VGT,0.9997893431276202
19,0.1,0.1,0.1,60,XLI,1.000241572928559
20,0.1,0.1,0.1,80,AAPL,1.0014991943621403
21,0.1,0.1,0.1,80,AMZN,1.0035242739460921
22,0.1,0.1,0.1,80,DJIA,0.9996228149674348
23,0.1,0.1,0.1,80,QQQ,1.0010110766700124
24,0.1,0.1,0.1,80,SPY,0.9997998583040976
25,0.1,0.1,0.1,80,VGT,1.0001101595353774
26,0.1,0.1,0.1,80,XLI,0.9996014336783396
27,0.1,0.1,0.2,20,AAPL,1.0026193943981976
28,0.1,0.1,0.2,20,AMZN,1.0013620911371133
29,0.1,0.1,0.2,20,DJIA,1.0004880590114391
30,0.1,0.1,0.2,20,QQQ,1.0002871974919416
31,0.1,0.1,0.2,20,SPY,1.0010264617850366
32,0.1,0.1,0.2,20,VGT,1.0008943512361852
33,0.1,0.1,0.2,20,XLI,1.0008459825188571
34,0.1,0.1,0.2,40,AAPL,1.0007898365975747
35,0.1,0.1,0.2,40,AMZN,0.9950346952547074
36,0.1,0.1,0.2,40,DJIA,1.0009111675027842
37,0.1,0.1,0.2,40,QQQ,1.001323337062405
38,0.1,0.1,0.2,40,SPY,1.0011946641601255
39,0.1,0.1,0.2,40,VGT,0.9993724109759784
40,0.1,0.1,0.2,40,XLI,1.000985812948024
41,0.1,0.1,0.2,60,AAPL,1.002084350803137
42,0.1,0.1,0.2,60,AMZN,1.0001578793241748
43,0.1,0.1,0.2,60,DJIA,0.9998484603367165
44,0.1,0.1,0.2,60,QQQ,1.001539254745723
45,0.1,0.1,0.2,60,SPY,1.0015073792835767
46,0.1,0.1,0.2,60,VGT,0.9992629409741807
47,0.1,0.1,0.2,60,XLI,1.000103183664302
48,0.1,0.1,0.2,80,AAPL,1.0011492539708453
49,0.1,0.1,0.2,80,AMZN,0.9984138220801877
50,0.1,0.1,0.2,80,DJIA,0.9993157928229218
51,0.1,0.1,0.2,80,QQQ,1.0002527780111512
52,0.1,0.1,0.2,80,SPY,1.0006986582070903
53,0.1,0.1,0.2,80,VGT,0.9991055963941763
54,0.1,0.1,0.2,80,XLI,0.9976774410900444
55,0.1,0.1,0.3,20,AAPL,1.0013732184642574
56,0.1,0.1,0.3,20,AMZN,0.9988948447307774
57,0.1,0.1,0.3,20,DJIA,1.0005877198238682
58,0.1,0.1,0.3,20,QQQ,1.0021756702380262
59,0.1,0.1,0.3,20,SPY,1.0005204537683225
60,0.1,0.1,0.3,20,VGT,1.0014280153128823
61,0.1,0.1,0.3,20,XLI,1.0006873795129985
62,0.1,0.1,0.3,40,AAPL,1.0001352735345845
63,0.1,0.1,0.3,40,AMZN,0.9983487605199832
64,0.1,0.1,0.3,40,DJIA,0.9999950088982158
65,0.1,0.1,0.3,40,QQQ,1.0006472047437331
66,0.1,0.1,0.3,40,SPY,0.9999842286736874
67,0.1,0.1,0.3,40,VGT,0.9999184866570893
68,0.1,0.1,0.3,40,XLI,0.9989648318329002
69,0.1,0.1,0.3,60,AAPL,1.002084350803137
70,0.1,0.1,0.3,60,AMZN,0.9981454272290906
71,0.1,0.1,0.3,60,DJIA,1.0001195691129854
72,0.1,0.1,0.3,60,QQQ,1.000683322205075
73,0.1,0.1,0.3,60,SPY,1.0006744915743155
74,0.1,0.1,0.3,60,VGT,1.0000547699139912
75,0.1,0.1,0.3,60,XLI,0.9986256714518326
76,0.1,0.1,0.3,80,AAPL,1.000514683186569
77,0.1,0.1,0.3,80,AMZN,0.9969586585350326
78,0.1,0.1,0.3,80,DJIA,0.9998340701073692
79,0.1,0.1,0.3,80,QQQ,0.9989251783100671
80,0.1,0.1,0.3,80,SPY,1.0007433310788523
81,0.1,0.1,0.3,80,VGT,0.9996156155789206
82,0.1,0.1,0.3,80,XLI,1.0014631941455017
83,0.1,0.1,0.4,20,AAPL,1.001186680498279
84,0.1,0.1,0.4,20,AMZN,0.9942819673800944
85,0.1,0.1,0.4,20,DJIA,1.0009030496233446
86,0.1,0.1,0.4,20,QQQ,1.001148268192491
87,0.1,0.1,0.4,20,SPY,1.0013225319079386
88,0.1,0.1,0.4,20,VGT,0.9975872085411394
89,0.1,0.1,0.4,20,XLI,1.002175915701211
90,0.1,0.1,0.4,40,AAPL,1.003048916896119
91,0.1,0.1,0.4,40,AMZN,0.9973604868794641
92,0.1,0.1,0.4,40,DJIA,0.9998880245690936
93,0.1,0.1,0.4,40,QQQ,0.999815866390155
94,0.1,0.1,0.4,40,SPY,1.0000904102201809
95,0.1,0.1,0.4,40,VGT,1.0000271972991237
96,0.1,0.1,0.4,40,XLI,1.0004062774897526
97,0.1,0.1,0.4,60,AAPL,1.002011045781186
98,0.1,0.1,0.4,60,AMZN,0.9980653416686822
99,0.1,0.1,0.4,60,DJIA,1.0004968318742333
100,0.1,0.1,0.4,60,QQQ,1.0012441952500755
101,0.1,0.1,0.4,60,SPY,0.9998853879992304
102,0.1,0.1,0.4,60,VGT,0.9991249295191948
103,0.1,0.1,0.4,60,XLI,1.00165393325722
104,0.1,0.1,0.4,80,AAPL,1.0014903781259181
105,0.1,0.1,0.4,80,AMZN,0.9952908671903844
106,0.1,0.1,0.4,80,DJIA,1.0004348989124616
107,0.1,0.1,0.4,80,QQQ,1.0012987605626333
108,0.1,0.1,0.4,80,SPY,1.0000340230840803
109,0.1,0.1,0.4,80,VGT,0.9999867504813649
110,0.1,0.1,0.4,80,XLI,0.9997763199760432
111,0.1,0.1,0.5,20,AAPL,1.000867058897932
112,0.1,0.1,0.5,20,AMZN,0.9981952101450197
113,0.1,0.1,0.5,20,DJIA,0.9995905446461031
114,0.1,0.1,0.5,20,QQQ,0.9993973407148321
115,0.1,0.1,0.5,20,SPY,1.0003852250640066
116,0.1,0.1,0.5,20,VGT,1.0001967876463518
117,0.1,0.1,0.5,20,XLI,1.0022838907709295
118,0.1,0.1,0.5,40,AAPL,1.0000181138729243
119,0.1,0.1,0.5,40,AMZN,0.995981207267542
120,0.1,0.1,0.5,40,DJIA,1.000420502307366
121,0.1,0.1,0.5,40,QQQ,0.9983505445476691
122,0.1,0.1,0.5,40,SPY,1.000406911265326
123,0.1,0.1,0.5,40,VGT,0.9981122228991484
124,0.1,0.1,0.5,40,XLI,1.0011201594639618
125,0.1,0.1,0.5,60,AAPL,1.0019671911414767
126,0.1,0.1,0.5,60,AMZN,1.0049328376262079
127,0.1,0.1,0.5,60,DJIA,1.0001723186137979
128,0.1,0.1,0.5,60,QQQ,1.0000630817462666
129,0.1,0.1,0.5,60,SPY,1.0003664008989805
130,0.1,0.1,0.5,60,VGT,0.9993391038856531
131,0.1,0.1,0.5,60,XLI,1.0017743734675926
132,0.1,0.1,0.5,80,AAPL,1.0030193343647265
133,0.1,0.1,0.5,80,AMZN,1.001815739550044
134,0.1,0.1,0.5,80,DJIA,1.0005369446426964
135,0.1,0.1,0.5,80,QQQ,1.0012031695636983
136,0.1,0.1,0.5,80,SPY,1.0008498038500917
137,0.1,0.1,0.5,80,VGT,0.9986105985675164
138,0.1,0.1,0.5,80,XLI,0.9996357783226335
139,0.1,0.1,0.6,20,AAPL,0.9999091852155313
140,0.1,0.1,0.6,20,AMZN,1.0026770731210448
141,0.1,0.1,0.6,20,DJIA,1.0003193188554556
142,0.1,0.1,0.6,20,QQQ,1.000667483230231
143,0.1,0.1,0.6,20,SPY,0.9995905731554047
144,0.1,0.1,0.6,20,VGT,1.0005330967389423
145,0.1,0.1,0.6,20,XLI,1.0003495479982776
146,0.1,0.1,0.6,40,AAPL,0.9992037919254982
147,0.1,0.1,0.6,40,AMZN,0.9958589781133423
148,0.1,0.1,0.6,40,DJIA,1.0009172564529167
149,0.1,0.1,0.6,40,QQQ,1.0007000278574938
150,0.1,0.1,0.6,40,SPY,0.9993590796092965
151,0.1,0.1,0.6,40,VGT,0.998544368430884
152,0.1,0.1,0.6,40,XLI,1.0006552434071385
153,0.1,0.1,0.6,60,AAPL,0.998570023475353
