date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-11-22,202.17,202.32,200.74,201.83,201.83,17187997.0,0.0,1.0
2019-11-21,201.94,202.0645,201.07,201.7,201.7,16703762.0,0.0,1.0
2019-11-20,202.84,203.45,200.62,202.15,202.15,36629000.0,0.0,1.0
2019-11-19,203.84,203.84,202.59,203.37,203.37,16923300.0,0.0,1.0
2019-11-18,202.59,203.39,201.77,203.07,203.07,18365900.0,0.0,1.0
2019-11-15,202.65,202.91,202.0,202.91,202.91,18427900.0,0.0,1.0
2019-11-14,200.83,201.56,200.22,201.43,201.43,16945400.0,0.0,1.0
2019-11-13,200.84,201.78,200.71,201.59,201.59,15774600.0,0.0,1.0
2019-11-12,201.13,202.21,200.82,201.54,201.54,14778300.0,0.0,1.0
2019-11-11,200.21,201.04,199.94,200.96,200.96,10147600.0,0.0,1.0
2019-11-08,200.07,201.25,199.54,201.23,201.23,15258800.0,0.0,1.0
2019-11-07,200.76,201.72,199.85,200.43,200.43,17832400.0,0.0,1.0
2019-11-06,199.98,200.0,198.79,199.76,199.76,19725500.0,0.0,1.0
2019-11-05,200.35,200.55,199.55,200.21,200.21,15048900.0,0.0,1.0
2019-11-04,200.19,200.53,198.87,200.1,200.1,19015900.0,0.0,1.0
2019-11-01,197.93,198.88,197.63,198.87,198.87,22131900.0,0.0,1.0
2019-10-31,197.56,197.65,195.94,197.08,197.08,26801800.0,0.0,1.0
2019-10-30,196.42,197.32,195.29,196.99,196.99,21764300.0,0.0,1.0
2019-10-29,197.24,197.54,196.01,196.04,196.04,18569700.0,0.0,1.0
2019-10-28,196.57,197.83,196.55,197.57,197.57,18842300.0,0.0,1.0
2019-10-25,193.09,195.74,193.05,195.64,195.64,21507100.0,0.0,1.0
2019-10-24,193.59,194.21,192.74,194.09,194.09,18998500.0,0.0,1.0
2019-10-23,191.46,192.26,191.15,192.22,192.22,14828400.0,0.0,1.0
2019-10-22,194.15,194.42,191.79,191.85,191.85,22392300.0,0.0,1.0
2019-10-21,192.71,193.52,192.14,193.39,193.39,15801200.0,0.0,1.0
2019-10-18,193.2,193.67,190.71,191.69,191.69,27700800.0,0.0,1.0
2019-10-17,194.2,194.5,192.81,193.55,193.55,19045200.0,0.0,1.0
2019-10-16,192.86,193.53,192.43,193.04,193.04,20457100.0,0.0,1.0
2019-10-15,191.68,193.97,191.56,193.52,193.52,23234200.0,0.0,1.0
