date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-22,142.438,143.0,141.5,142.469,98.1787,4155400.0,0.0,1.0
1999-11-23,142.844,142.844,140.3707,141.219,97.3172,5918000.0,0.0,1.0
1999-11-24,140.75,142.438,140.0,141.969,97.8341,4459700.0,0.0,1.0
1999-11-26,142.469,142.875,141.25,141.438,97.468,1693900.0,0.0,1.0
1999-11-29,140.875,141.922,140.438,140.938,97.1235,7348600.0,0.0,1.0
1999-11-30,140.75,142.3198,139.0,139.281,95.9821,7682000.0,0.0,1.0
1999-12-01,139.313,140.5,139.0,140.406,96.7573,6980200.0,0.0,1.0
1999-12-02,140.625,141.375,140.375,141.25,97.3388,6698300.0,0.0,1.0
1999-12-03,143.0333,145.344,143.031,143.844,99.1262,10045400.0,0.0,1.0
1999-12-06,143.531,143.719,142.25,142.781,98.394,3138900.0,0.0,1.0
1999-12-07,143.281,143.313,141.375,141.625,97.5972,10714200.0,0.0,1.0
1999-12-08,141.344,142.0742,140.5,140.719,96.9727,4611400.0,0.0,1.0
1999-12-09,141.813,142.219,139.375,141.406,97.4465,6474700.0,0.0,1.0
1999-12-10,142.2893,142.813,140.875,141.875,97.7694,5127300.0,0.0,1.0
1999-12-13,141.438,142.719,141.281,142.125,97.9418,4210800.0,0.0,1.0
1999-12-14,141.625,142.484,140.625,140.75,96.9942,5739000.0,0.0,1.0
1999-12-15,140.3715,142.203,140.031,141.5,97.5111,6879100.0,0.0,1.0
1999-12-16,142.188,142.656,141.156,142.125,97.9418,5854900.0,0.0,1.0
1999-12-17,143.0,143.313,142.063,142.688,98.5708,4775400.0,0.348,1.0
1999-12-20,142.563,143.188,141.094,141.656,97.8584,4608700.0,0.0,1.0
1999-12-21,141.594,144.063,141.3409,143.813,99.3479,7981300.0,0.0,1.0
1999-12-22,143.625,144.188,142.9702,144.188,99.607,5377500.0,0.0,1.0
1999-12-23,145.016,146.484,145.0059,146.484,101.1937,5721700.0,0.0,1.0
1999-12-27,146.5,146.781,145.0649,146.281,101.0534,2691000.0,0.0,1.0
1999-12-28,145.875,146.5,145.484,146.188,100.9886,4084500.0,0.0,1.0
1999-12-29,146.313,146.813,145.313,146.813,101.4204,3001000.0,0.0,1.0
1999-12-30,147.125,147.563,146.188,146.641,101.3017,3641300.0,0.0,1.0
1999-12-31,146.844,147.5,146.25,146.875,101.4635,3172700.0,0.0,1.0
2000-01-03,148.25,148.2472,143.875,145.438,100.4705,8164300.0,0.0,1.0
2000-01-04,143.531,144.063,139.641,139.75,96.5415,8089800.0,0.0,1.0
2000-01-05,139.938,141.5284,137.25,140.0,96.7142,12177900.0,0.0,1.0
2000-01-06,139.625,141.5,137.75,137.75,95.1599,6227200.0,0.0,1.0
2000-01-07,140.313,145.75,140.063,145.75,100.6864,8066500.0,0.0,1.0
2000-01-10,146.25,146.906,145.031,146.25,101.0318,5741700.0,0.0,1.0
2000-01-11,145.813,146.094,143.5,144.5,99.8229,7503700.0,0.0,1.0
2000-01-12,144.594,144.594,142.875,143.063,98.8298,6907700.0,0.0,1.0
2000-01-13,144.469,145.75,143.281,145.0,100.1683,5158300.0,0.0,1.0
2000-01-14,146.531,147.469,145.969,146.969,101.5283,7437300.0,0.0,1.0
2000-01-18,145.344,146.625,145.188,145.813,100.7295,6488500.0,0.0,1.0
2000-01-19,145.313,147.0,145.0,147.0,101.5499,6157900.0,0.0,1.0
2000-01-20,146.969,146.969,143.813,144.75,99.9955,5800100.0,0.0,1.0
2000-01-21,145.4969,145.5,144.063,144.438,99.7797,6244800.0,0.0,1.0
2000-01-24,145.656,145.844,139.406,140.344,96.9517,7896900.0,0.0,1.0
2000-01-25,140.516,141.938,139.0,141.938,98.0527,9942500.0,0.0,1.0
2000-01-26,141.0,141.547,140.094,140.813,97.2755,5158100.0,0.0,1.0
2000-01-27,141.8369,142.219,138.125,140.25,96.8869,10922700.0,0.0,1.0
2000-01-28,139.438,140.063,135.531,135.875,93.8646,11916200.0,0.0,1.0
2000-01-31,135.813,139.672,135.0,139.563,96.4119,10768700.0,0.0,1.0
2000-02-01,139.75,141.688,138.531,140.938,97.3618,8419900.0,0.0,1.0
2000-02-02,141.281,142.25,140.375,141.063,97.4482,6205900.0,0.0,1.0
2000-02-03,140.875,143.25,140.0,143.188,98.9162,7997500.0,0.0,1.0
2000-02-04,143.188,144.0,142.125,142.594,98.506,4925400.0,0.0,1.0
2000-02-07,142.563,142.781,141.438,142.375,98.3549,5845800.0,0.0,1.0
2000-02-08,143.969,144.563,143.625,144.313,99.6933,4936400.0,0.0,1.0
2000-02-09,144.469,144.469,141.266,141.281,97.5993,8511500.0,0.0,1.0
2000-02-10,141.625,142.563,140.875,141.563,97.7936,6690600.0,0.0,1.0
2000-02-11,141.844,141.938,138.031,138.688,95.8075,9849800.0,0.0,1.0
2000-02-14,139.781,139.781,138.313,139.5,96.3688,8528800.0,0.0,1.0
2000-02-15,139.25,141.219,137.797,141.094,97.459,11078300.0,0.0,1.0
2000-02-16,140.375,140.938,138.797,139.0,96.0234,8845400.0,0.0,1.0
2000-02-17,140.438,140.438,138.219,138.281,95.5268,7584200.0,0.0,1.0
2000-02-18,138.875,138.875,134.625,135.313,93.476,9409200.0,0.0,1.0
2000-02-22,135.188,136.344,133.531,134.969,93.2385,16415400.0,0.0,1.0
2000-02-23,135.625,137.469,134.5,136.563,94.3395,12119000.0,0.0,1.0
2000-02-24,136.688,137.031,133.094,133.813,92.4398,17375000.0,0.0,1.0
2000-02-25,135.188,136.719,133.125,133.328,92.1052,10559900.0,0.0,1.0
2000-02-28,133.375,136.688,132.719,136.125,94.0373,13397800.0,0.0,1.0
2000-02-29,136.063,137.438,135.75,137.438,94.9439,8242500.0,0.0,1.0
2000-03-01,137.625,139.0,137.219,138.438,95.6348,6868000.0,0.0,1.0
2000-03-02,138.688,139.125,137.344,138.531,95.6996,7600200.0,0.0,1.0
2000-03-03,140.438,141.719,139.7158,141.125,97.4914,12770300.0,0.0,1.0
2000-03-06,140.813,141.344,138.75,139.75,96.5415,11967100.0,0.0,1.0
2000-03-07,140.0,140.156,135.219,137.047,94.6742,20062000.0,0.0,1.0
2000-03-08,136.469,137.844,135.031,136.875,94.5554,11808500.0,0.0,1.0
2000-03-09,137.2513,140.875,136.125,140.875,97.3187,5500900.0,0.0,1.0
2000-03-10,140.188,142.0,139.531,140.125,96.8006,7924600.0,0.0,1.0
2000-03-13,136.688,140.469,136.5,138.594,95.7427,10540500.0,0.0,1.0
2000-03-14,139.281,140.094,136.156,136.625,94.3827,8263900.0,0.0,1.0
2000-03-15,136.875,140.438,136.063,139.813,96.5847,10300800.0,0.0,1.0
2000-03-16,141.625,146.844,140.875,146.344,101.0966,25601400.0,0.0,1.0
2000-03-17,145.813,148.0,145.438,146.938,101.7647,10272900.0,0.371,1.0
2000-03-20,146.875,147.344,144.781,146.188,101.2453,12502300.0,0.0,1.0
2000-03-21,145.531,149.75,144.5,149.188,103.323,13612600.0,0.0,1.0
2000-03-22,149.563,150.844,148.688,150.094,103.9507,8260000.0,0.0,1.0
2000-03-23,149.156,153.469,149.156,152.656,105.7253,11654500.0,0.0,1.0
2000-03-24,152.875,155.75,151.719,153.563,106.353,11462900.0,0.0,1.0
2000-03-27,153.375,153.781,151.8221,151.938,105.2276,8798600.0,0.0,1.0
2000-03-28,151.25,152.984,150.594,151.063,104.6216,6334400.0,0.0,1.0
2000-03-29,151.563,152.484,149.656,151.219,104.7298,6747500.0,0.0,1.0
2000-03-30,150.156,151.922,147.125,148.688,102.9767,9491900.0,0.0,1.0
2000-03-31,149.625,152.313,148.438,150.375,104.1454,9249100.0,0.0,1.0
2000-04-03,150.125,151.25,148.688,151.25,104.7514,8508200.0,0.0,1.0
2000-04-04,151.75,153.0,141.391,145.75,103.9723,19585500.0,0.0,1.0
2000-04-05,147.875,150.813,147.625,149.188,103.323,8387200.0,0.0,1.0
2000-04-06,150.25,151.688,149.0,150.484,104.2212,6378500.0,0.0,1.0
2000-04-07,151.563,152.125,150.5,151.438,104.8813,6023600.0,0.0,1.0
2000-04-10,151.75,153.109,150.313,150.844,104.4701,9624200.0,0.0,1.0
2000-04-11,150.0,151.625,148.375,150.406,104.1671,9006400.0,0.0,1.0
2000-04-12,150.3805,151.156,146.156,146.281,101.3102,10779200.0,0.0,1.0
2000-04-13,147.469,148.156,141.125,144.25,99.9034,12225800.0,0.0,1.0
2000-04-14,142.625,142.813,133.5,136.0,94.1897,29604000.0,0.0,1.0
2000-04-17,135.188,140.75,134.688,140.75,97.4794,23918200.0,0.0,1.0
2000-04-18,140.563,144.469,139.7807,144.469,100.0549,11069200.0,0.0,1.0
2000-04-19,144.5,145.125,142.5207,143.125,99.1242,6553700.0,0.0,1.0
2000-04-20,143.563,143.938,142.375,143.813,99.6004,8537600.0,0.0,1.0
2000-04-24,141.5,143.313,140.5,142.25,98.5183,12893100.0,0.0,1.0
2000-04-25,144.625,148.156,144.438,148.156,102.6088,14102000.0,0.0,1.0
2000-04-26,147.969,148.75,146.0,146.484,101.4509,7711100.0,0.0,1.0
