date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-11-22,232.99,233.33,231.1948,232.15,232.15,345381.0,0.0,1.0
2019-11-21,233.27,233.284,231.74,232.21,232.21,362961.0,0.0,1.0
2019-11-20,234.07,234.95,231.651,233.48,233.48,809665.0,0.0,1.0
2019-11-19,234.81,235.338,233.66,234.71,234.71,599484.0,0.0,1.0
2019-11-18,233.28,234.3649,232.4018,233.94,233.94,344255.0,0.0,1.0
2019-11-15,232.98,233.4,232.35,233.39,233.39,320207.0,0.0,1.0
2019-11-14,230.91,231.56,230.3,231.46,231.46,450729.0,0.0,1.0
2019-11-13,230.23,231.89,230.22,231.74,231.74,299288.0,0.0,1.0
2019-11-12,230.69,232.0,230.18,231.22,231.22,386713.0,0.0,1.0
2019-11-11,228.89,230.73,228.61,230.49,230.49,323372.0,0.0,1.0
2019-11-08,228.27,230.2,227.46,230.2,230.2,341006.0,0.0,1.0
2019-11-07,228.76,230.23,228.37,228.97,228.97,442680.0,0.0,1.0
2019-11-06,227.37,227.37,226.03,227.13,227.13,353813.0,0.0,1.0
2019-11-05,228.23,228.23,226.6018,227.36,227.36,477354.0,0.0,1.0
2019-11-04,228.35,228.45,227.23,227.58,227.58,370693.0,0.0,1.0
2019-11-01,224.58,226.55,224.13,226.55,226.55,569035.0,0.0,1.0
2019-10-31,224.38,224.41,222.29,223.64,223.64,343220.0,0.0,1.0
2019-10-30,223.04,224.1,221.7,223.9,223.9,348623.0,0.0,1.0
2019-10-29,224.17,224.49,222.4,222.4,222.4,295778.0,0.0,1.0
2019-10-28,223.13,224.475,223.13,224.22,224.22,862472.0,0.0,1.0
2019-10-25,219.0,221.81,219.0,221.68,221.68,275576.0,0.0,1.0
2019-10-24,218.0,219.18,217.36,219.04,219.04,256742.0,0.0,1.0
2019-10-23,215.0,216.03,214.5,215.74,215.74,247068.0,0.0,1.0
2019-10-22,218.98,219.6709,215.45,215.52,215.52,354820.0,0.0,1.0
2019-10-21,217.54,218.6428,216.8864,218.48,218.48,240489.0,0.0,1.0
2019-10-18,218.19,218.45,214.81,216.31,216.31,317716.0,0.0,1.0
2019-10-17,219.77,220.16,217.481,218.62,218.62,326771.0,0.0,1.0
2019-10-16,219.44,219.44,217.98,218.83,218.83,352185.0,0.0,1.0
2019-10-15,219.12,221.31,218.935,220.76,220.76,384894.0,0.0,1.0
2019-10-14,218.27,219.26,218.25,218.49,218.49,283226.0,0.0,1.0
2019-10-11,217.88,220.43,217.88,218.5,218.5,782722.0,0.0,1.0
2019-10-10,213.96,216.2694,213.94,215.35,215.35,326846.0,0.0,1.0
2019-10-09,213.16,214.84,212.852,214.06,214.06,362351.0,0.0,1.0
2019-10-08,213.72,214.015,210.94,211.05,211.05,483088.0,0.0,1.0
2019-10-07,215.17,216.9,214.98,215.23,215.23,347192.0,0.0,1.0
2019-10-04,213.64,216.12,213.625,215.91,215.91,397868.0,0.0,1.0
2019-10-03,209.52,212.34,206.92,212.32,212.32,505187.0,0.0,1.0
2019-10-02,212.18,212.295,208.01,209.61,209.61,601601.0,0.0,1.0
2019-10-01,216.51,217.9099,213.39,213.61,213.61,522619.0,0.0,1.0
2019-09-30,214.05,216.0,213.7,215.55,215.55,356932.0,0.0,1.0
2019-09-27,216.6,216.68,211.6142,213.22,213.22,518563.0,0.0,1.0
2019-09-26,216.17,217.04,214.8,216.36,216.36,262065.0,0.8344,1.0
