date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-11-22,81.45,81.6917,81.195,81.67,81.67,5183809.0,0.0,1.0
2019-11-21,81.29,81.51,81.0,81.25,81.25,6094774.0,0.0,1.0
2019-11-20,81.67,81.86,80.96,81.28,81.28,14726652.0,0.0,1.0
2019-11-19,82.26,82.33,81.745,81.93,81.93,9191660.0,0.0,1.0
2019-11-18,82.16,82.16,81.83,82.0,82.0,5119361.0,0.0,1.0
2019-11-15,82.17,82.48,82.1,82.31,82.31,6150737.0,0.0,1.0
2019-11-14,81.29,81.88,81.28,81.71,81.71,7355003.0,0.0,1.0
2019-11-13,81.46,81.75,81.2,81.45,81.45,9892093.0,0.0,1.0
2019-11-12,81.93,82.17,81.62,81.79,81.79,8293469.0,0.0,1.0
2019-11-11,81.26,81.925,81.13,81.8,81.8,5801492.0,0.0,1.0
2019-11-08,81.48,81.76,81.23,81.76,81.76,6323390.0,0.0,1.0
2019-11-07,81.8,82.18,81.515,81.65,81.65,10296950.0,0.0,1.0
2019-11-06,81.25,81.38,80.9,81.37,81.37,12253162.0,0.0,1.0
2019-11-05,81.3,81.68,81.085,81.32,81.32,14923671.0,0.0,1.0
2019-11-04,80.66,81.18,80.66,81.15,81.15,15294167.0,0.0,1.0
2019-11-01,79.06,80.22,79.01,80.22,80.22,19657946.0,0.0,1.0
2019-10-31,79.12,79.12,78.11,78.51,78.51,10693182.0,0.0,1.0
2019-10-30,79.23,79.43,78.795,79.36,79.36,9208212.0,0.0,1.0
2019-10-29,78.5,79.29,78.4044,79.08,79.08,10429111.0,0.0,1.0
2019-10-28,78.77,79.23,78.76,78.82,78.82,8128121.0,0.0,1.0
2019-10-25,78.09,78.78,78.05,78.6,78.6,7718450.0,0.0,1.0
2019-10-24,78.13,78.215,77.55,78.11,78.11,8414560.0,0.0,1.0
2019-10-23,77.98,78.05,77.67,78.0,78.0,7390190.0,0.0,1.0
2019-10-22,77.49,78.24,77.2,78.01,78.01,11366743.0,0.0,1.0
2019-10-21,77.23,77.57,77.11,77.4,77.4,8428064.0,0.0,1.0
2019-10-18,77.44,77.6,76.86,76.94,76.94,9694456.0,0.0,1.0
2019-10-17,77.67,78.19,77.54,77.61,77.61,7978942.0,0.0,1.0
2019-10-16,77.13,77.62,77.09,77.23,77.23,8797300.0,0.0,1.0
2019-10-15,76.79,77.57,76.63,77.27,77.27,8985760.0,0.0,1.0
2019-10-14,76.65,76.87,76.405,76.65,76.65,4863349.0,0.0,1.0
2019-10-11,76.38,77.48,76.18,76.8,76.8,16252274.0,0.0,1.0
2019-10-10,74.55,75.65,74.55,75.38,75.38,9320877.0,0.0,1.0
2019-10-09,74.68,75.0,74.275,74.7,74.7,6271533.0,0.0,1.0
2019-10-08,74.47,74.87,74.02,74.07,74.07,11582341.0,0.0,1.0
2019-10-07,75.38,75.87,75.07,75.23,75.23,7305462.0,0.0,1.0
2019-10-04,74.88,75.7,74.8,75.61,75.61,9178987.0,0.0,1.0
2019-10-03,74.17,74.85,73.18,74.83,74.83,16635180.0,0.0,1.0
2019-10-02,75.12,75.13,73.79,74.34,74.34,12499690.0,0.0,1.0
2019-10-01,77.91,78.24,75.695,75.77,75.77,15974797.0,0.0,1.0
2019-09-30,77.61,77.89,77.61,77.63,77.63,6225132.0,0.0,1.0
2019-09-27,78.09,78.18,77.155,77.52,77.52,10226850.0,0.0,1.0
2019-09-26,77.85,78.085,77.42,77.83,77.83,9600984.0,0.0,1.0
2019-09-25,77.34,77.87,77.07,77.72,77.72,10002812.0,0.0,1.0
2019-09-24,78.0,78.19,76.83,77.22,77.22,11878529.0,0.0,1.0
